Link,Title,Comment
https://vnexpress.net/nhan-chung-truc-thang-lao-xuong-bien-roi-phat-no-4590428.html,Nhân chứng: 'Trực thăng lao xuống biển rồi phát nổ',Mou_MuTôi nghĩ vs máy bay trực thăng thì nên trang bị dù khi bay nếu có sự cố thì nhân viên bung dù cho hành khách sẽ ổn hơn
https://vnexpress.net/nhan-chung-truc-thang-lao-xuong-bien-roi-phat-no-4590428.html,Nhân chứng: 'Trực thăng lao xuống biển rồi phát nổ',Nguyễn AnhNếu trực thăng ko phát nổ thì khả năng có người sống rất cao.
https://vnexpress.net/nhan-chung-truc-thang-lao-xuong-bien-roi-phat-no-4590428.html,Nhân chứng: 'Trực thăng lao xuống biển rồi phát nổ',truongpham0682Chắc nên trang bị thủy phi cơ thấy nó an toàn hơn trực thăng.
https://vnexpress.net/nhan-chung-truc-thang-lao-xuong-bien-roi-phat-no-4590428.html,Nhân chứng: 'Trực thăng lao xuống biển rồi phát nổ',nguyenduynamtuliemTHEO TÔI LÀ NÊN TRANG BỊ CHO PHI CÔNG VÀ HÀNH KHÁCH ÁO PHAO VÀ MŨ BẢO HIỂM CHỊU ÁP LỰC LỚN. KHI GẶP SỰ CỐ BẤT KHẢ KHÁNG THÌ MỌI NGƯỜI CHỈ VIỆC BẤM NÚT LÀ NÓ TỰ PHỒNG LÊN NHƯ QUẢ BÓNG CÓ KHẢ NĂNG GIẢM CHẤN ĐỂ HẠN CHẾ THƯƠNG VONG...
https://vnexpress.net/nhan-chung-truc-thang-lao-xuong-bien-roi-phat-no-4590428.html,Nhân chứng: 'Trực thăng lao xuống biển rồi phát nổ',Tuấn ViệtBay trực thăng là nguy hiểm nhất trong các loại bay. Một khi động cơ bị trục trặc thì nó rơi tõm xuống luôn không kiểm soát được.
https://vnexpress.net/nhan-chung-truc-thang-lao-xuong-bien-roi-phat-no-4590428.html,Nhân chứng: 'Trực thăng lao xuống biển rồi phát nổ',Lê NguyễnVô cùng thương tiếc.... Xin chia buồn cùng gia quyến những người đã mất..!
https://vnexpress.net/nhan-chung-truc-thang-lao-xuong-bien-roi-phat-no-4590428.html,Nhân chứng: 'Trực thăng lao xuống biển rồi phát nổ',Nguyễn Mạnh HàMình thắc mắc là nhảy ra ngoài( ko có dù) thì ở độ cao khoảng 50-100m xuống biển thì vẫn có khả năng sống sao lại ko nhảy vậy nhỉ ?
https://vnexpress.net/nhan-chung-truc-thang-lao-xuong-bien-roi-phat-no-4590428.html,Nhân chứng: 'Trực thăng lao xuống biển rồi phát nổ',"ThaoxuanthienTúm lại bay ko an toàn thì ko nên bay nữa, thế thôi!"
https://vnexpress.net/nhan-chung-truc-thang-lao-xuong-bien-roi-phat-no-4590428.html,Nhân chứng: 'Trực thăng lao xuống biển rồi phát nổ',Nam Nguyen ThanhXin chia buồn cùng gia đình các nạn nhân trong vụ tai nạn máy bay trực thăng này. Cầu cho linh hồn các nạn nhân được siêu thoát
https://vnexpress.net/nhan-chung-truc-thang-lao-xuong-bien-roi-phat-no-4590428.html,Nhân chứng: 'Trực thăng lao xuống biển rồi phát nổ',nghiavinh1Minh nghi Nên trang bị cho khách bộ áo phao có giáp chống va đập và nón bảo hiểm.
